,9,45,34,15
loss,1.9937463309972503,0.5726515426921607,0.7303598555127329,1.228170539246873
mae,1.9937466382980347,0.5726518034934998,0.730359673500061,1.2281705141067505
mse,37.54170227050781,2.6324691772460938,3.7452991008758545,12.30899715423584
rmse,4.183804988861084,1.1049519777297974,1.3788930177688599,2.4145467281341553
pearson,0.9490711092948914,0.9964762330055237,,0.9793578386306763
val_loss,1.3254946722434118,1.8664853844740619,0.9645256296946452,2.978572102693411
val_mae,1.3254945278167725,1.8664851188659668,0.9645256400108337,2.978571891784668
val_mse,4.57036828994751,9.27147102355957,1.8133326768875122,25.149539947509766
val_rmse,1.4907861948013306,2.167293071746826,1.0536400079727173,3.2167882919311523
val_pearson,0.2988198697566986,0.0793273001909256,0.3769124150276184,0.3460390567779541
